2
2
207, 205, 1
219, 175, 1
192, 211, 1
196, 223, 1
186, 187, 1
209, 188, 1
191, 175, 1
197, 197, 1
168, 176, 1
214, 209, 1
194, 197, 1
213, 204, 1
191, 170, 1
202, 201, 1
189, 210, 1
187, 184, 1
186, 206, 1
189, 182, 1
229, 223, 1
205, 221, 1
157, 204, 1
234, 192, 1
198, 208, 1
189, 160, 1
196, 217, 1
208, 209, 1
207, 154, 1
203, 199, 1
188, 206, 1
249, 138, 1
191, 191, 1
171, 213, 1
187, 187, 1
201, 206, 1
188, 174, 1
214, 180, 1
188, 181, 1
228, 238, 1
197, 197, 1
206, 188, 1
215, 196, 1
175, 202, 1
216, 211, 1
186, 179, 1
175, 191, 1
213, 196, 1
226, 211, 1
201, 217, 1
180, 207, 1
190, 247, 1
174, 187, 1
170, 167, 1
223, 180, 1
202, 218, 1
206, 179, 1
210, 247, 1
217, 225, 1
221, 195, 1
218, 208, 1
178, 187, 1
183, 193, 1
211, 185, 1
204, 204, 1
202, 227, 1
206, 185, 1
205, 204, 1
188, 196, 1
218, 220, 1
194, 242, 1
194, 191, 1
212, 202, 1
217, 197, 1
225, 176, 1
193, 202, 1
188, 236, 1
207, 205, 1
187, 226, 1
202, 207, 1
196, 223, 1
176, 214, 1
195, 224, 1
178, 183, 1
222, 146, 1
188, 210, 1
182, 198, 1
200, 187, 1
199, 205, 1
212, 236, 1
179, 240, 1
211, 202, 1
193, 188, 1
220, 226, 1
216, 187, 1
198, 163, 1
201, 202, 1
161, 192, 1
213, 219, 1
210, 184, 1
174, 203, 1
165, 222, 1
284, 287, 2
301, 233, 2
264, 295, 2
270, 321, 2
256, 244, 2
287, 255, 2
262, 223, 2
272, 269, 2
232, 216, 2
294, 299, 2
267, 268, 2
292, 289, 2
263, 213, 2
277, 278, 2
261, 292, 2
258, 239, 2
256, 283, 2
261, 235, 2
314, 332, 2
282, 321, 2
217, 268, 2
321, 271, 2
273, 292, 2
260, 191, 2
270, 308, 2
285, 296, 2
284, 186, 2
279, 276, 2
259, 283, 2
341, 170, 2
263, 254, 2
237, 291, 2
258, 244, 2
276, 288, 2
259, 220, 2
294, 241, 2
259, 233, 2
312, 363, 2
272, 269, 2
284, 253, 2
296, 274, 2
242, 270, 2
297, 304, 2
257, 229, 2
242, 248, 2
293, 272, 2
310, 308, 2
277, 310, 2
248, 282, 2
261, 366, 2
240, 239, 2
235, 199, 2
306, 244, 2
278, 312, 2
283, 236, 2
288, 373, 2
298, 332, 2
304, 274, 2
299, 297, 2
245, 242, 2
252, 255, 2
290, 250, 2
281, 285, 2
278, 331, 2
283, 247, 2
282, 285, 2
259, 264, 2
299, 322, 2
268, 358, 2
267, 255, 2
291, 285, 2
298, 275, 2
309, 236, 2
265, 276, 2
259, 343, 2
284, 288, 2
258, 323, 2
278, 290, 2
270, 320, 2
243, 296, 2
269, 323, 2
246, 233, 2
305, 177, 2
259, 292, 2
251, 266, 2
275, 249, 2
274, 285, 2
291, 353, 2
247, 348, 2
290, 284, 2
266, 248, 2
302, 336, 2
296, 256, 2
272, 200, 2
276, 280, 2
223, 246, 2
292, 317, 2
288, 246, 2
241, 272, 2
228, 307, 2
